Question;Source author name;Source URL;Theme
What have you done in the past to conquer these challenges? Did it work?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
If it didn't, what would you do differently next time?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
Who is involved in the buying process for products or services like ours?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
Who do you consult with and trust for advice and information?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
What are your biggest complaints about our product or service?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
What must happen for you to overcome these complaints?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
What’s your gender?;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Demographics
How old are you?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Demographics
What is your income?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Demographics
What is your highest level of education completed?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Demographics
What is your current occupation?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Demographics
Describe your personal demographics.;Lindsay Kolowich;https://blog.hubspot.com/marketing/buyer-persona-questions;Demographics
Describe your educational background.;Lindsay Kolowich;https://blog.hubspot.com/marketing/buyer-persona-questions;Demographics
How old are you?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Demographics
What city do you live in? Work in?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Demographics
What is their name?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
Are they male or female?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
Which country were they born in?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
Which city were they born in?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
What’s their racial background?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
Which country and city did they grow up in? (There’s a lot of evidence suggesting that where we grow up shapes us “in dramatic ways”.);Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
In which country and city do they live now?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
What websites or publications do you read regularly?;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Information Sources
Where do you go to learn about a product or service?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Information Sources
Who do you ask for product/service recommendations?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Information Sources
What type of online or print information articles do you read?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Information Sources
What publications, blogs or social media networks do you pay attention to?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Information Sources
Which social media networks do you use personally? How often?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Information Sources
Which search engine do you use the most? What’s your process for finding something online?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Information Sources
Do you belong to any social, professional or networking groups?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Information Sources
Do you attend any industry events, conferences or trade shows?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Information Sources
What information formats do you engage with the most?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Information Sources
How do you do your research on new products and/or services for your business?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Information Sources
How did you find out about our company?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Information Sources
How adept are they at using technology?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Do they tend to embrace new technologies or do they prefer to stick with systems they know?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Are they a fluent internet user?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
What operating system do they use?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
What internet browser do they use?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Which is their preferred search engine?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Do they use any social media websites?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Do they use their cell phone for browsing the internet?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Do they use their cell phone to make purchases?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
What’s your marital status?;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Life situation
Do you have pets?;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Life situation
What is your HHI?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
Where do you live?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
Are you a homeowner or renter?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
Do you have children? How many? What ages?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
What do you do for fun?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
Who are the people in your life that are most important?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
What type of vehicles do you own and why?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
What type of indulgent or luxurious purchases do you make?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
What is your marital status?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Life situation
What’s your family structure like?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Life situation
Do you have any hobbies? Are you involved in any activities or organizations?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Life situation
Are your children married?;Jesse Ness;https://www.ecwid.com/blog/how-to-create-buyer-personas-for-an-ecommerce-store.html;Life situation
How old are your children?;Jesse Ness;https://www.ecwid.com/blog/how-to-create-buyer-personas-for-an-ecommerce-store.html;Life situation
Where do your children live?;Jesse Ness;https://www.ecwid.com/blog/how-to-create-buyer-personas-for-an-ecommerce-store.html;Life situation
Do your children have children? How many? What ages?;Jesse Ness;https://www.ecwid.com/blog/how-to-create-buyer-personas-for-an-ecommerce-store.html;Life situation
Which country/city did they grow up in?;Jesse Ness;https://www.ecwid.com/blog/how-to-create-buyer-personas-for-an-ecommerce-store.html;Life situation
What level of education did they complete?;Jesse Ness;https://www.ecwid.com/blog/how-to-create-buyer-personas-for-an-ecommerce-store.html;Life situation
Tell us about your family life.;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Life situation
Who were they raised by (mother and father/single parent/grandparents/etc)?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If applicable, what did their mother do for a living?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Again, if applicable, what did their father do for a living?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Alternatively, if they weren’t raised by their mother or father, what did their primary caregiver do for a living?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What was the parenting style they were raised with? Strict, laid back, or somewhere in between?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Were they raised in a religious household? If yes, which religion were they raised under?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they have any brothers or sisters? If yes, how many brothers and how many sisters?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Where in the birth order did they arrive? (This is said to have a significant impact on the kind of person we grow up to be).;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What was the social status of their family growing up?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Did they grow up in the city, the suburbs, or in a rural area?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What type of home did they grow up in? (An apartment, small house, large house, etc.);Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they have any debt? How much?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Is this debt (if there is any) a result of the cost of necessary landmarks in their life (i.e. a college loan or a mortgage) or irresponsible spending (such as credit card debt)?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How much are they worth (total cash and assets, minus liabilities)?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they very conscientious about the purchases they make or are they liable to make impulse buys?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they the main breadwinner in their household?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they responsible for most of the purchasing decisions in their household?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What’s their marital status? Single? Casually dating? In a serious relationship, but living apart? Living together? Married? Separated? Divorced? Widowed?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How do they feel about their current marital status? Happily single or happily married? Or, are they single but looking for a partner?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What’s their sexual orientation?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Which political party (if any) do they support?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they actively involved in politics?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they environmentally conscious?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Which news sources do they read?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Also if yes, are they girls, boys, or a mix of both?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If they don’t have children, is this a conscious decision or do they want children but have been unable to have them? Are they likely to have children in the future?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they have any pets?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, how many and what are they? Interestingly, people’s preferences towards particular animals can tell us a lot about their character.;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What type of home do they currently live in?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Who (if anyone) shares their home with them?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How many friends do they have? Explore this further by asking how many close friends they have vs. more casual acquaintances.;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they see their friends often? Are they a social butterfly or do they prefer spending their free time at home?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they religious?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, which religion are they part of?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Also if yes, have they always been part of this religion or is something they chose to embrace as an adult?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What hobbies (if any) do they have?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they exercise regularly?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, what type/s of exercise do they do?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If no, why don’t they exercise? Time? Laziness? Health problems?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they play any competitive sports?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they prefer baths or showers? Seriously – the answer says more about us than you might think.;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What TV shows do they enjoy watching?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What genre of movies do they like best?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What genre of movies do they like least?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What type of music do they enjoy listening to?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Who do they most look up to/admire? This could be somebody they know, or a celebrity.;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they enjoy reading?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, what do they tend to read?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they regularly go on vacations?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, where do they go? Do they usually go to the same place? Do they go abroad?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Also if yes, what do sort of vacations do they usually go on? Beach? City? Skiing? Cruise?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If they don’t go on many vacations, why not? Does money hold them back or do they simply prefer staying at home?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Have they ever been backpacking?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, where did they go?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Also if yes, who did they go with?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If no, do they ever want to go traveling?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How often do they treat themselves?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they drink alcohol?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they smoke?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If no to either of the above, are they an ex-drinker or smoker?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they introverted or extroverted? Or somewhere inbetween?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How spontaneous are they?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they a risk taker?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they tend to break or follow rules?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they mostly optimistic or pessimistic? Or are they a realist?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they driven more by their right brain or their left brain? Are they more creative or more logically minded?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they adapt easily to change?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they independent or do they tend to follow the crowd?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they get jealous easily or are they easily pleased for others?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they worry about what others think of them?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How would their friends describe them?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How would they describe themselves?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What technical and demographic information do you have about your website visitors?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
How do you currently market?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
Describe marketing campaigns that have been the most successful.;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
Describe marketing campaigns that have failed.;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
Which blog posts have received the most traffic?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
What are the most frequently asked questions from customers?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
Which page on the website receives the most impressions?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
What is the most frustrating part of your day?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What is the worst customer service experience you’ve ever had?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What regular activity do you find stressful?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What makes you nervous?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What is the fastest way for somebody to make you angry?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What is your least favorite part of your job?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What is the worst job you can imagine?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What purchase under XX dollars did you most regret?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What do you worry about?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What frustrates you the most about your job?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Pain Point
What do you enjoy most?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Pain Point
What types of customers do you typically meet?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Sales Team
Why do different types of customers typically make a purchase?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Sales Team
