Question;Persona type (e.g., buyer persona);Source author name;Source URL;Theme
If yes, which ones?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
If no, why not? Are they unsure how to use them? Perhaps they don’t trust them?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
What’s their preferred method of communication? Emailing, texting, using an app (such as WhatsApp), or do they prefer to pick up the phone?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
Do they shop online?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
If yes, which websites do they usually buy from?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
If no, why not? As with Question #336, this may come down to trust (not feeling confident supplying their bank details online) or ability (not understanding how to make purchases online). However, they may simply prefer to make purchases in person.;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
Again if no, could they be persuaded to start shopping online?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
What cell phone do they use?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
Why do they need your product (or service)? Think about the benefits it will offer your specific buyer (not the general public at large).;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
When will they need your product? Is it something they’ll need for a specific occasion, something that lends itself to repeat purchases, or something that, while useful, will not be required at any specific point?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
What other products (if any) on the market offer the same (or similar) benefits?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
"If you’re up against competing products, why would your persona choose to buy from you, rather than one of your competitors? Think about your USPs; specifically, how your USPs will benefit your buyer.";Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
What questions will they ask before deciding to buy your product? This might include:;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
What’s their number one concern when deciding whether or not to make a purchase? (Price, quality, brand, etc.);Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
How would they prefer to purchase your product? Online, over the phone, or in person?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
Are they willing to make the purchase by alternative means, or is there only one means by which they are happy or able to buy?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
When making a purchase online, which payment method do they prefer to use? Think PayPal, debit card, or credit card, but consider the card provider too.;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
When making a purchase in person, do they prefer to pay by card or with cash?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
What accomplishments are you most proud of?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Decision Making
What are the top three things on your bucket list?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Decision Making
What value is typically associated with your industry?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Decision Making
What is the preferred type of sales experience in your industry?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Decision Making
(If a customer) Why did you choose [your company] over another company?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
(If not a customer) Why did you choose X Company over us?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
What is your decision-making process when planning on buying [your product/service]?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
Was anyone else involved in this process? If so, who? And why or why not?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
What would you say influences your purchasing decision the most?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
What is most important to you when selecting a vendor?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
What are some key factors that would deter you from making a purchase?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
What kind of customer- or user-related decisions you make?;User Persona;Qatar Computing Research Institute;https://persona.qcri.org/blog/how-to-create-personas-a-list-of-common-interview-questions/;Decision Making
What are the goals you're trying to achieve?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
Why are these goals important? ;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
What steps are you taking to achieve these goals?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
If it didn't, what would you do differently next time?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
Who is involved in the buying process for products or services like ours?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
Who do you consult with and trust for advice and information?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
What are your biggest complaints about our product or service?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
What must happen for you to overcome these complaints?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
What is your income?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Demographics
What is your current occupation?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Demographics
What city do you live in? Work in?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Demographics
What is their name?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
Are they male or female?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
Which country were they born in?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
Which city were they born in?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
What’s their racial background?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
In which country and city do they live now?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Demographics
What websites or publications do you read regularly?;Buyer Persona;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Information Sources
Where do you go to learn about a product or service?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Information Sources
Who do you ask for product/service recommendations?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Information Sources
What type of online or print information articles do you read?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Information Sources
Which social media networks do you use personally? How often?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Information Sources
Which search engine do you use the most? What’s your process for finding something online?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Information Sources
Do you belong to any social, professional or networking groups?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Information Sources
Do you attend any industry events, conferences or trade shows?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Information Sources
What information formats do you engage with the most?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Information Sources
How do you do your research on new products and/or services for your business?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Information Sources
How did you find out about our company?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Information Sources
How adept are they at using technology?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Do they tend to embrace new technologies or do they prefer to stick with systems they know?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Are they a fluent internet user?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
What operating system do they use?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
What internet browser do they use?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Which is their preferred search engine?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Do they use any social media websites?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Do they use their cell phone for browsing the internet?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
Do they use their cell phone to make purchases?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Information Sources
What is your HHI?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
Are you a homeowner or renter?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
What do you do for fun?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
Who are the people in your life that are most important?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
What type of vehicles do you own and why?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
What type of indulgent or luxurious purchases do you make?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Life situation
Do you have any hobbies? Are you involved in any activities or organizations?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Life situation
Tell us about your family life.;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Life situation
Who were they raised by (mother and father/single parent/grandparents/etc)?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If applicable, what did their mother do for a living?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Again, if applicable, what did their father do for a living?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Alternatively, if they weren’t raised by their mother or father, what did their primary caregiver do for a living?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What was the parenting style they were raised with? Strict, laid back, or somewhere in between?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Were they raised in a religious household? If yes, which religion were they raised under?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they have any brothers or sisters? If yes, how many brothers and how many sisters?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Where in the birth order did they arrive? (This is said to have a significant impact on the kind of person we grow up to be).;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What was the social status of their family growing up?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Did they grow up in the city, the suburbs, or in a rural area?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What type of home did they grow up in? (An apartment, small house, large house, etc.);Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they have any debt? How much?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Is this debt (if there is any) a result of the cost of necessary landmarks in their life (i.e. a college loan or a mortgage) or irresponsible spending (such as credit card debt)?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How much are they worth (total cash and assets, minus liabilities)?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they very conscientious about the purchases they make or are they liable to make impulse buys?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they the main breadwinner in their household?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they responsible for most of the purchasing decisions in their household?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How do they feel about their current marital status? Happily single or happily married? Or, are they single but looking for a partner?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What’s their sexual orientation?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Which political party (if any) do they support?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they actively involved in politics?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they environmentally conscious?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Which news sources do they read?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Also if yes, are they girls, boys, or a mix of both?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If they don’t have children, is this a conscious decision or do they want children but have been unable to have them? Are they likely to have children in the future?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they have any pets?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, how many and what are they? Interestingly, people’s preferences towards particular animals can tell us a lot about their character.;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What type of home do they currently live in?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Who (if anyone) shares their home with them?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How many friends do they have? Explore this further by asking how many close friends they have vs. more casual acquaintances.;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they see their friends often? Are they a social butterfly or do they prefer spending their free time at home?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they religious?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, which religion are they part of?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Also if yes, have they always been part of this religion or is something they chose to embrace as an adult?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What hobbies (if any) do they have?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they exercise regularly?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, what type/s of exercise do they do?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If no, why don’t they exercise? Time? Laziness? Health problems?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they play any competitive sports?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they prefer baths or showers? Seriously – the answer says more about us than you might think.;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What TV shows do they enjoy watching?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What genre of movies do they like best?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What genre of movies do they like least?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What type of music do they enjoy listening to?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Who do they most look up to/admire? This could be somebody they know, or a celebrity.;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they enjoy reading?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, what do they tend to read?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they regularly go on vacations?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, where do they go? Do they usually go to the same place? Do they go abroad?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Also if yes, what do sort of vacations do they usually go on? Beach? City? Skiing? Cruise?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If they don’t go on many vacations, why not? Does money hold them back or do they simply prefer staying at home?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Have they ever been backpacking?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If yes, where did they go?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Also if yes, who did they go with?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If no, do they ever want to go traveling?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How often do they treat themselves?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they drink alcohol?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they smoke?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
If no to either of the above, are they an ex-drinker or smoker?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they introverted or extroverted? Or somewhere inbetween?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How spontaneous are they?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they a risk taker?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they tend to break or follow rules?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they mostly optimistic or pessimistic? Or are they a realist?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they driven more by their right brain or their left brain? Are they more creative or more logically minded?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they adapt easily to change?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Are they independent or do they tend to follow the crowd?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they get jealous easily or are they easily pleased for others?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
Do they worry about what others think of them?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How would their friends describe them?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
How would they describe themselves?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Life situation
What technical and demographic information do you have about your website visitors?;User Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
How do you currently market?;User Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
Describe marketing campaigns that have been the most successful.;User Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
Describe marketing campaigns that have failed.;User Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
Which blog posts have received the most traffic?;User Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
What are the most frequently asked questions from customers?;User Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
Which page on the website receives the most impressions?;User Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Marketing Team
What is the most frustrating part of your day?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What is the worst customer service experience you’ve ever had?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What regular activity do you find stressful?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What makes you nervous?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What is the fastest way for somebody to make you angry?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What is your least favorite part of your job?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What is the worst job you can imagine?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What purchase under XX dollars did you most regret?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What do you worry about?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Pain Point
What frustrates you the most about your job?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Pain Point
What do you enjoy most?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Pain Point
What types of customers do you typically meet?;User Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Sales Team
Why do different types of customers typically make a purchase?;User Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Sales Team
What reasons do customers cite for selecting your business over a competitor?;User Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Sales Team
What are the most common objections you hear?;User Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Sales Team
Were they popular at school?;Buyer Persona;Jesse Ness;https://www.ecwid.com/blog/how-to-create-buyer-personas-for-an-ecommerce-store.html;School Life
What type of school did they attend? Public or private? Small or large? Was it a well-rated and respected school or a struggling school?;Buyer Persona;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;School Life
